,0,1
0,AM,1
1,An,5
2,At,9
3,Ba,4
4,By,22
5,Ed,5
6,If,18
7,Li,13
8,Lu,2
9,MV,2
10,Me,3
11,Of,4
12,Ol,1
13,Or,2
14,PJ,2
15,SG,1
16,Xi,2
17,aaron,2
18,abduct,1
19,abet,1
20,abound,1
21,absorb,1
22,abstract,1
23,abus,1
24,academ,6
25,accept,6
26,accompani,7
27,accur,2
28,accuraci,1
29,achiev,10
30,acknowledg,2
31,acquir,2
32,across,27
33,activ,1
34,adam,48
35,adamsian,2
36,address,4
37,adept,1
38,adida,6
39,adjust,1
40,administr,9
41,adrenalin,1
42,adult,7
43,advanc,8
44,advent,2
45,advertis,2
46,advis,3
47,african,4
48,afternoon,5
49,afterward,3
50,age,17
51,aggress,2
52,agit,1
53,agre,1
54,aha,1
55,ahead,2
56,air,9
57,airi,1
58,airport,1
59,aix,3
60,akont,1
61,alan,2
62,album,69
63,albumblatt,1
64,alcorn,2
65,alessandro,1
66,alexand,2
67,alfr,2
68,ali,1
69,alic,7
70,alkemi,1
71,all,15
72,alleg,4
73,allenour,2
74,alli,2
75,allur,2
76,along,26
77,alpin,2
78,amazingli,2
79,ambassador,10
80,ambiti,2
81,ame,1
82,american,52
83,amirtha,1
84,amistad,1
85,amount,2
86,anarch,2
87,anatol,1
88,and,79
89,andant,1
90,andi,5
91,andr,1
92,andré,3
93,angl,2
94,anim,5
95,annex,1
96,annot,2
97,announc,12
98,annual,2
99,anoth,32
100,anthropologist,1
101,antiphon,1
102,anxieti,4
103,anxiou,2
104,anywher,1
105,apocalipstick,2
106,apolog,9
107,appar,9
108,appeal,10
109,appear,25
110,appleton,1
111,approach,15
112,arab,17
113,arabel,1
114,arc,2
115,archaic,1
116,architect,1
117,area,3
118,arisen,3
119,arl,3
120,armstrong,1
121,arnett,3
122,artemisia,4
123,articl,8
124,artist,39
125,ask,20
126,asset,4
127,assign,4
128,assist,3
129,associ,7
130,assum,4
131,assumpt,2
132,astound,3
133,asyla,2
134,athlet,3
135,atkin,1
136,atmospher,4
137,audaci,2
138,aung,2
139,auster,1
140,austin,1
141,averag,3
142,avignon,3
143,awar,13
144,aye,4
145,background,2
146,backup,1
147,bad,4
148,bagpip,6
149,baker,5
150,bakersfield,2
151,balanc,13
152,balvin,1
153,bamboo,2
154,banana,2
155,banga,1
156,banner,2
157,bard,9
158,barenboim,6
159,bargemus,2
160,bariton,16
161,barnatan,1
162,baroneaft,1
163,baroneyuja,1
164,bartokian,2
165,basi,1
166,basic,1
167,bassen,6
168,bassoon,2
169,bath,2
170,baton,2
171,battl,3
172,bbc,1
173,beach,13
174,beat,8
175,beatl,8
176,bebop,1
177,becaus,5
178,beethoven,19
179,befor,4
180,beforehand,2
181,begin,26
182,behind,10
183,beirut,4
184,bel,1
185,belavi,2
186,belief,1
187,bell,3
188,bellow,2
189,bend,1
190,benefit,4
191,benign,5
192,bequeath,2
193,berceus,1
194,berlin,4
195,berri,6
196,berryman,2
197,best,35
198,bestow,1
199,beyoncé,2
200,bicentenni,2
201,bigger,4
202,bigsbi,6
203,billion,2
204,birnbaum,4
205,bit,13
206,blackwil,2
207,blank,4
208,blend,5
209,bliss,1
210,blister,2
211,block,3
212,bloomberg,5
213,blow,6
214,blue,26
215,blumenkranz,4
216,blyth,1
217,bmop,1
218,board,11
219,bob,5
220,bolin,2
221,bolster,2
222,bolt,2
223,bomsori,1
224,bon,1
225,book,42
226,borda,1
227,born,19
228,botero,1
229,botstein,1
230,boulez,3
231,bounc,2
232,bout,2
233,bow,4
234,boweri,1
235,bowi,1
236,bowler,1
237,bradley,2
238,brake,2
239,brant,2
240,braxton,2
241,break,9
242,breath,6
243,bridg,1
244,brief,15
245,briefli,3
246,britain,5
247,britel,1
248,british,15
249,brittl,3
250,broad,4
251,broadli,1
252,bronx,2
253,brooklyn,12
254,broomstick,2
255,brought,18
256,bruce,15
257,bt,1
258,buckskin,1
259,budg,1
260,buffet,2
261,built,20
262,bullock,1
