,0,1
0,AD,6
1,AM,3
2,AS,6
3,An,32
4,At,3
5,Ba,15
6,By,4
7,Ci,1
8,Cl,1
9,Co,3
10,DS,1
11,De,7
12,Fl,2
13,Fo,1
14,Fr,1
15,GS,6
16,Ha,6
17,IN,4
18,IT,8
19,If,10
20,JD,6
21,JS,2
22,Li,13
23,Lo,1
24,Lu,3
25,Lx,2
26,MA,1
27,MD,3
28,MS,1
29,MY,6
30,Me,29
31,NO,2
32,Na,1
33,ON,10
34,Oc,1
35,Of,53
36,Or,2
37,Ox,1
38,PA,1
39,Ph,1
40,RT,180
41,Ro,12
42,Ru,6
43,Sh,7
44,St,9
45,Sw,1
46,TO,18
47,Ta,1
48,UK,1
49,VS,4
50,WI,6
51,Wa,1
52,Ye,1
53,aaron,1
54,abruzzo,1
55,ac,8
56,accompani,1
57,achiev,2
58,achievementhgt,2
59,achvoic,2
60,acou,3
61,across,1
62,actra,1
63,adam,8
64,adamrwestmus,1
65,address,1
66,administr,1
67,adnansamil,13
68,adriancoxmus,2
69,adult,2
70,adulthood,6
71,advanc,6
72,aevea,1
73,af,6
74,africanaeuph,2
75,afternoon,17
76,age,10
77,aggress,6
78,ahead,1
79,air,2
80,aisaijiri,1
81,ajjohnso,1
82,aka,1
83,al,14
84,alan,2
85,album,61
86,alexand,2
87,alfr,1
88,alic,6
89,all,24
90,alo,36
91,along,1
92,alpin,1
93,alri,1
94,altceva,3
95,alwayslea,1
96,amadeu,4
97,amatiauct,1
98,ambi,1
99,ambient,4
100,ambisub,4
101,ame,1
102,ameri,2
103,american,3
104,amorim,1
105,amorimviolin,1
106,amritkhanjira,1
107,anal,1
108,anali,1
109,and,25
110,andi,1
111,andr,7
112,andrebisson,1
113,andredreharri,6
114,andrewtmackay,4
115,ang,14
116,angelaruedig,3
117,angelusdirect,6
118,angri,1
119,anniversar,1
120,anniversari,4
121,announc,23
122,annual,2
123,anoth,20
124,anth,1
125,antonio,1
126,anybodi,1
127,anyssapiano,1
128,anzacday,1
129,appar,6
130,appear,1
131,approach,10
132,ar,6
133,arab,6
134,arabi,1
135,area,1
136,ari,6
137,arsymphoni,1
138,artcebu,2
139,articl,8
140,artisangtrshow,6
141,artist,25
142,artwork,3
143,ash,7
144,asherl,1
145,ask,5
146,assist,1
147,atienza,1
148,atmospher,2
149,attemp,1
150,atthecapitol,6
151,audioheal,1
152,audit,8
153,auditiond,1
154,auditori,1
155,augustin,1
156,austin,1
157,australia,4
158,authorjschaff,1
159,averag,1
160,avraham,1
161,aysedeniz,1
162,babe,1
163,background,1
164,backup,6
165,bad,6
166,balanc,1
167,baldwinpianoforsal,1
168,balla,1
169,bandsaw,1
170,bandwagon,1
171,bashkirov,1
172,basic,3
173,bassoon,1
174,batch,1
175,battl,1
176,bbc,1
177,be,7
178,beach,4
179,bearlioz,1
180,beat,67
181,beatl,17
182,beatsforsal,1
183,becaus,1
184,beebufoustel,1
185,beethoven,6
186,befo,6
187,begin,10
188,beginn,6
189,behind,14
190,behindthescen,1
191,bel,1
192,belat,1
193,bell,5
194,bellaelectricstr,1
195,belli,1
196,benefit,1
197,benign,1
198,berlinerphilharmon,1
199,bespokerosin,1
200,best,33
201,billboard,1
202,birt,2
203,bit,28
204,blackbird,1
205,blag,2
206,bliss,1
207,bloss,1
208,blow,2
209,blue,66
210,bluebird,6
211,blueish,1
212,bmop,1
213,bob,7
214,bonu,1
215,bonvoy,1
216,book,24
217,bore,6
218,born,15
219,bostonsymphoni,1
220,bow,14
221,bradf,1
222,bradley,1
223,braziliz,4
224,break,28
225,brenna,1
226,brexit,1
227,brians,1
228,bridg,1
229,bridgestr,1
230,bridgeviolin,1
231,britain,1
232,british,2
233,broadstair,1
234,broadwaylo,1
235,brooklyn,6
236,bt,6
237,bucketheadland,6
238,buckley,1
239,buddi,2
240,budg,1
241,bumpboxx,6
242,burn,6
243,but,8
244,ca,14
245,cage,12
246,cakewalk,1
247,cal,1
248,call,23
249,came,5
250,camiilanglemey,1
251,canada,1
252,candi,2
253,cappuccino,1
254,captu,1
255,car,1
256,cardiffviolin,1
257,cardonaldpri,1
258,carlo,1
259,carlyandrussduo,1
260,carlybethmus,6
261,carnat,1
262,carnegi,3
263,carri,1
264,case,11
265,cast,1
266,cataclysmickoi,1
267,caught,6
268,cdbabi,1
269,ceardlann,1
270,celebr,9
271,celebrat,1
272,celinex,1
273,centerforpopmusicph,1
274,ceremonia,1
275,challeng,9
276,chann,12
277,channel,11
278,charg,12
279,charm,6
280,charvel,6
281,chechi,1
282,checkli,1
283,checkout,5
284,chef,1
285,chereexo,1
286,chicagosymphon,1
287,chick,7
288,chinr,1
289,chomski,1
290,choral,7
291,christma,1
292,chromat,6
293,cj,6
294,cla,4
295,clapton,6
296,clarklmsmus,1
297,classi,1
298,classic,88
299,classicalmus,4
300,classicfm,1
301,clearanc,6
302,clementi,1
303,client,1
304,clip,6
305,cljmusic,1
306,closer,1
307,cmea,1
308,coast,1
309,coastcafeworth,1
310,codabow,2
311,coffeehous,3
312,coldanband,1
313,coldpla,2
314,coleman,10
315,colleg,1
316,colour,2
317,com,25
318,comfo,1
319,comfort,2
320,commercial,6
321,compar,1
322,compet,1
323,complet,1
324,compos,21
325,composin,1
326,composit,18
327,compound,6
328,concert,71
329,conchitawurst,6
330,conductor,3
331,confess,2
332,congrat,1
333,conn,1
334,contempl,1
335,contemporari,3
336,contest,2
337,conti,1
338,continu,1
339,contrari,3
340,coordin,7
341,copelandmus,2
342,copi,1
343,copic,1
344,cornet,4
345,corp,1
346,costello,1
347,could,11
348,count,1
349,cours,7
350,courtesi,1
351,cov,2
352,coversbybrooksi,2
353,craftsman,1
354,creativ,63
355,crew,1
356,critis,1
357,crusaderbeach,1
358,cubanamyo,1
359,cumbriapiano,2
360,current,3
361,currentmood,2
362,curricu,1
363,cute,1
364,cuttimg,6
365,daarysya,1
366,daddi,6
367,dale,1
368,dallassymphoni,1
369,danah,1
370,danc,9
371,daniel,6
372,danielcolalillo,2
373,dark,7
374,darragh,6
375,daughter,5
376,david,7
377,davidbazo,1
378,davidguetta,1
379,daytim,1
380,dea,1
381,deal,2
382,dealer,6
383,dealofth,6
384,dear,11
385,debut,25
386,decid,5
387,dedic,5
388,deedg,1
389,delgad,1
390,deltarun,1
391,demo,12
392,denisr,4
393,desirkob,1
394,detail,3
395,devic,6
396,di,3
397,diamond,1
398,diego,1
399,diff,2
400,differ,9
401,difficult,2
402,digit,1
403,dirtycoast,1
404,discov,1
405,distort,1
406,divin,1
407,dlive,2
408,do,4
409,doc,1
410,doctor,8
411,doctorpiano,1
412,dond,1
413,dou,1
414,douc,1
415,dougla,2
416,dove,6
417,download,40
418,dr,1
419,draw,6
420,drdre,2
421,dri,6
422,drive,1
423,dro,3
424,dropship,1
425,dru,9
426,drumkit,1
427,drwasson,1
428,du,6
429,dude,1
430,dues,6
431,dumb,6
432,duo,2
433,dyer,2
434,earra,1
435,easi,6
436,echo,1
437,eclect,1
438,eddi,1
439,edm,1
440,effect,8
441,egg,6
442,elec,1
443,electr,28
444,element,1
445,eleonorbindman,24
446,elisiashopp,8
447,elliewilsonuk,1
448,elsieshnied,1
449,eltonoffici,1
450,elysiumiii,1
451,en,14
452,encor,1
453,encuentra,1
454,endors,6
455,engin,13
456,english,5
457,ensemblemirag,2
458,entertain,1
459,entertainmen,6
460,epicmus,1
461,ericaspiano,1
462,erik,1
463,especi,7
464,essayplaylist,2
465,even,26
466,everlast,3
467,evernden,2
468,everyon,24
469,evolv,1
470,exactli,4
471,excit,19
472,exercis,3
473,exhibit,1
474,exit,1
475,expla,6
476,explor,6
477,expressoshow,1
478,extend,1
479,extens,6
480,fabianalmazantrio,1
481,fabrizi,1
482,fade,6
483,fairi,1
484,fall,2
485,famous,7
486,fantano,6
487,far,1
488,faringdonpiano,3
489,faur,1
490,faux,6
491,fayepatton,1
492,fclmalondon,2
493,fee,1
494,feel,18
495,feinviolin,2
496,felt,2
497,femal,2
498,fen,6
499,festiv,10
500,few,3
501,fiber,1
502,fifth,3
503,figu,1
504,figur,1
505,filip,3
506,film,8
507,filmi,1
508,filmmak,3
509,fine,3
510,fineartbyannett,23
511,finess,1
512,fingerboar,6
513,finneyvapa,2
514,firebird,6
515,flagtwist,3
516,florida,6
517,floridito,2
518,flute,1
519,focus,1
520,fog,1
521,fold,1
522,former,1
523,founder,2
524,frame,1
525,francin,1
526,free,30
527,french,1
528,fret,1
529,friday,15
530,fridaynight,1
531,from,33
532,front,2
533,funk,15
534,funki,1
535,fusion,1
536,futuretech,2
537,fuzz,6
538,gabrel,6
539,gabrielsloy,2
540,gaga,1
541,gain,7
542,gainesvil,1
543,garag,1
544,gear,54
545,geeanem,1
546,geez,11
547,geig,1
548,gent,1
549,georg,17
550,georgegershwin,1
551,germanson,1
552,gewandhausl,1
553,gibson,18
554,gilmorefestiv,1
555,gilmour,6
556,giovanni,1
557,girl,2
558,give,19
559,glass,1
560,glazial,1
561,glori,1
562,go,146
563,godchang,1
564,goi,7
